masked_celphone_number,hashed_celphone_number,date,text,carrier
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,35:14.0,"GLOBE reminds you that your reward points (5,340) will expire today. Please visit to redeem your favorite gift: https://glopeox-ph.com",<unknown>
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,20:41.0,"GLOBE reminds you that your reward points (5,340) will expire today. Please visit to redeem your favorite gift:https://globephox.com",<unknown>
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,40:45.2,"Dear customer, you have 16,590 points which will expire on 02/05/2025 Please redeem your present immediately! Pleaseclick:http://globe-points-ph.one/ph Redeem your present!",<unknown>
GLOBE,b4440a5b-996e-329b-9151-c0c600037802,32:14.1,"Dear Customer, you have 9,590points expiring on 12/12!  Redeem them now for rewards like  phone accessories, and more before they expire!Click to view your options:https://globe-poluts.com/globe",<unknown>
+63928****537,4e1b31cd-c22b-3496-b1ff-4cc31675ab3c,14:36.2,"Send Money Protect Policy will automatically renew on November 14th through your GCash for Php 1760.00. To cancel this policy, visit gcash.phlada.fr/n",Smart
+63951****770,e771fbdc-5b20-382c-a306-5ef20671800d,56:52.1,Your Luck Awaits! Grab P3000 Gift today at GJP PH GoJPLucks.golf,Smart
+63908****805,06edc4ef-9230-36b7-ac64-c97408bc3dba,08:29.0,"Good day this is from Getmeds Philippines Inc my name is ren, we'll just ask if you want to order? I'll be more than happy to assist you ☺️",Smart
+63993****259,d2c90a83-9ca4-321b-bd9f-ae65fa902898,48:49.3,"G Cash Advisory!

Our system detected unrecognized login attempts to your G Cash. As a precaution, your G Cash was suspended for 24 hours. To resolve this issue,

Visit: glife.money/G-Cash",DITO
+63948****446,48082699-3459-34a0-a960-e0a168b93ba9,18:23.2,"URGENT ACTION REQUIRED: Your account needs attention! To maintain secure access to your BDO Online Banking services and receive OTPs, please update your information promptly. Visit Online-App.ltd!SecureBDO to complete this important step.",TNT
+63910****220,e69f1ab3-c1f6-35ef-b495-ea78e5505e3f,38:42.0,"BigWln, nanalo ka ng Prize: P39,259. Magparehistro Makakuha ng P17~Maglaro ng P50 Makakuha ng P57. Libreng P128 para sa unang deposito~ gdubw.social  ",TNT
+63951****553,98af2972-235f-3504-8ec2-6e08f8d69b21,07:51.0,"Free slot machines worth 80 million pesos are waiting for you! Register to get 238P, first deposit will get 588p for free, rebate website  pvej.sg  ",Smart
+63948****410,a63f02fd-db8e-3fa6-8a00-f66e049d9d4b,14:41.9,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: xpio76ytr.la,TNT
+63907****483,82dcdecc-7449-3ef2-aadd-57defcd281d1,39:08.2,"Join GJP Casino's Bet Tournament to win up to 12,000 points!
GJProsper.de
New members receive a 200% bonus + 3000 points. Start winning today!",TNT
+63948****813,28cb793d-7f25-3983-8e48-447a380d8938,32:41.0,Ikaw ang maswerteng Makatanggap ng P555 na bonus >>>  URL: 177bet. xyz,TNT
+63951****262,fee158ee-9e86-342b-9075-44034da15667,30:04.3,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa URL: 177bet. xyz,Smart
+63930****956,a5dbfc43-4c8b-34f3-a096-87394a1857d2,05:56.5,"Nanalo ng Jackp0t! Nanalo ka ng Prize na P64,347! I-download na para makakuha ng P57 nang libre. Makakuha ng 128 libre para sa 1st Deposit. gghnm.dhaui.ca  ",TNT
+63964****163,19e48215-0ee7-3690-82e6-a04f580ea2a0,45:43.7,Mag-register na sa EPwin at makakuha ng 180% Welcome Bonus hanggang 15k pesos + 1.2% araw-araw na rebate sa epicgamb.de! Huwag palampasin!,Globe
+63930****985,b1a50884-50ef-3495-a136-0d1ba93033f5,23:05.0,"GCash:

Account verification needed due to suspicious transaction. 
Kindly Visit: asace.wang/p to continue using our services",TNT
+63951****753,f87b2696-dfe9-308a-a941-f0409445a4f6,48:14.0,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: yystf5ree.nl,Smart
+63951****372,cf798ec2-42dd-3fa1-97d8-8869593fb52a,59:13.6,"GJPrize.de! Sunday is your chance to win big! Spin the Daily Lucky Wheel for a Samsung Galaxy S23+ 5G (P42,999 value). Newbies get 200% bonus + P3000.",Smart
+63951****849,a5d0d7da-ce8c-39d0-9a48-98edc66bb0fa,35:54.7,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: boxjam.de.,Smart
+63951****283,519c803b-2eaf-32fe-a458-2acef79ee750,45:12.7,"GJChips.de! Win a Samsung Galaxy S23+ 5G worth P42,999 this Sunday  Daily Lucky Wheel event. New members get 200% bonus + P3000. Sign up!",Smart
+63963****529,3d1fcf73-5bcd-31eb-9619-d902eff6dd34,30:39.4,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: joypod.de.,Smart/TNT
+63907****860,f611ba68-1701-3941-9077-0e957f65b64d,36:40.2,Unleash your potential with T.G.I.S.! Sign up now for a 999p bonus! Enter the Lucky Wheel for a chance to win Xiaomi 14 at WPSlots.de! Start winning now.,TNT
+63964****762,132942de-1eac-3c6c-984e-0ddd4cb286d3,49:50.0,"Friday fun is here! Enjoy 6,888p + 6,888p at GJP PH's Payday Blast. New members get 3000p at GJSlots.de . Don't wait, join now!",Globe
+63951****916,65176fe7-4fd8-3208-ab83-0114af3a10d8,26:49.0,YG777 Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: joypod.de,Smart
+63951****551,340befce-e0fa-39a1-bb90-f5f921397340,12:47.2,100 pesos mo gawin nating 200!  Copy this to browser [ kklfph.fyi ] to get!,Smart
+63951****160,7650a08b-5ce5-3fc5-81f2-02c4177bcf82,13:26.0,YG777 Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: boxlid.de,Smart
+63907****899,61c5c767-7650-33c5-a34c-542807dc7be8,46:14.9,Congrats VIP! You've won 300% First Deposit Bonus and FREE100 FBS Bonus! Claim now before its gone! Contact Customer Service to seize your luck! pnlkawon.de !,TNT
+63951****823,068df9c4-d806-3918-bd18-8dca2856ac4f,44:54.5,"Ikaw ang maswerteng
Makatanggap ng P555 na 
bonus >>> tssccc.pgwinwin.ca  ",Smart
+63951****263,c0e608e0-74e0-3eaa-9331-527fa0c527b6,15:32.5,Claim your b0nus! Magl0g-in at kunin ang 100 pes0s ngayon! Pumunta sa link na to { kklfph.fyi },Smart
+63909****076,59b7c1da-badf-3ab1-98e4-81e7ac5dac8b,32:25.0,"Elevate your status! Join Sbet VIP for up to 88,888p Bonus! New members score 3,000p Welcome Bonus + daily rewards! Sign up at SBCash.de !",TNT
+63912****025,350f0b09-84b7-3ba7-bab6-bda08eef3742,15:15.9,"July is here! Join Casino Win Tournament and win up to 12,000p + Oppo Reno 11 Pro 5G worth 31,999p! Get daily rebate 0.6% at Winplaysuper.de . Sign up now!",TNT
+63951****982,15760fb5-ce7f-38e9-8b7a-0fb146d93e0f,17:20.7,Nanalo ang number mo ng P2874! Mag-register gamit ang number na ito upang makuha and premyo. Sumali dito: antfig.de,Smart
+63968****001,de9a19d7-01aa-351b-a75e-7b9a0a1527c4,25:15.7,"100% first deposit bonus,57 bonus for inviting friends, 18-88 bonus for download APP.What are you waiting for : 38.11.89.106",Smart
+63909****512,fdad8ab3-1063-35b4-a668-65560958aa5b,52:45.3,Saturday Storm at WPlusGame.de ! Grab your 999p Bonus + up to 100% first deposit bonus + 588p. Don't miss the fun!,TNT
+63951****630,28c71743-ca4e-3adb-80d5-31efac936441,20:25.7,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: nowjam.de,Smart
+63951****653,6f18f67d-7b3f-3424-ae89-d034b893cedc,52:38.9,Subukan ang saya at kunin ang 100% Welcome Bonus + 50% Live Casino Bonus sa EpicWPlay.de hanggang 3000 pesos! Sumali na ngayon!,Smart
+63970****761,4022ceb3-b363-3ed3-aef2-ca6f8caedc8b,45:37.6,"Get ready for the ultimate GJP PH T.G.I.F Event today! Win 6,888p & up to 12,000p in Bet Tournament! Grab an Oppo Reno 11 Pro in our Tourna! Gojpcards.de",Smart
+63907****589,c84f16d8-c7be-3e1e-a2f8-5914f06e7e55,52:35.4,"We have received your interest in applying for a Credit Card with NO ANNUAL FEE FOR LIFE

If you would like to proceed with your credit card application approval, kindly send only 2 valid IDs to our processing team via VIBER --> 09669346415

Once we receive your IDs, please wait for our verification call.",TNT
+63930****491,120bbda0-4f1f-373f-b353-a0791a11b851,24:40.5,"Ikaw ang maswerteng
Makatanggap ng P888 na 
bonus >>> supervvvip.ca  ",TNT
+63951****147,a06e2cc4-f4e0-3b32-8a05-4358185632ed,06:09.7,Nalagay na sa iyong number ang P2500. Sumali gamit ang number na ito at maglagay ng P50 upang makuha: hnvb.uk,Smart
+63951****375,ae2af4a8-3a5b-39f7-8b10-a63447fcdbc7,19:12.5,100k Jackp0t na naman! Ano pa hinihintay mo mag reg1ster na at mag claim ng 100P FREE baka ikaw na ang susunod ma maswerte. ODQZZ.eu,Smart
+63951****195,a4ddbf20-80e3-33e0-b0e4-48e08d9c9c24,02:30.3,"Don't miss out on your chance to win big! Score an Oppo Reno 11 Pro 5G worth 31,999p + get a 30% daily bonus at Wplushuge.de! Join the excitement now!",Smart
+63968****607,8073110e-f7a7-3572-8f95-e20cb1d26aa7,18:19.4,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa ycx43ew7rt.uk,Smart
+63962****712,d17888b3-513e-3100-948b-4e2047a6187b,57:24.0,"Dear User,

Your GCash account has received P13,000 from GCash Support.

Redeem here: claimpeso.de/?claimid=37

Thank you for choosing us!",Smart/Sun
+63964****276,24ba46f4-b7ae-3848-9053-2b69cb8efa73,02:23.6,Free 3000p & win VIVO V30e 256GB! Don't miss the Slot Tournament! sbetgift.eu,Globe
+63968****605,4f59c86d-6122-34a4-b691-4359d4b7b905,31:27.6,Ikaw ang maswerteng Makatanggap ng P555 na  bonus >>>  yg54yt7r7y.uk,Smart
+63951****218,39033262-40b2-3148-b6fb-591ae597d393,59:57.8,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: cxlk.uk,Smart
+63909****120,97a25ad1-ca68-3077-b9a1-1603da0269e4,42:43.2,"Winning Plus Tuesday Slots: Win Oppo Reno 11 Pro 5G + 512GB worth 31,999p + 30% daily bonus. Register now at Wplayace.de .",TNT
+63910****256,f16e571a-e4a9-3620-b420-16b62405f1eb,14:27.2,May P6140 na natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Maglagay ng P50 upang maclaim sa aming 24/7 CS: mwjt.uk,TNT
+63909****318,40cd009b-c410-3c51-86f6-24e237523004,38:13.0,"Daily Lucky Wheel at   Gojpluswild.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Grab your chance to win big!",TNT
+63909****793,9f4e03f3-6ffb-3a45-986c-cdf9c906dc08,37:35.8,"Spin the Daily Lucky Wheel at Gojplaywildph.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Sign up now!",TNT
+63951****610,6fafd623-c656-3af8-90f3-e65455d8d3d9,17:34.4,May P6140 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: phee.so,Smart
+63907****338,f5243cb8-fca9-38f8-bd48-a2a0866340c2,24:22.2,Sa tuwing tumataya ako sa lvv65a118l.uk nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,TNT
+63907****742,5dfa549c-cd2f-3682-bdde-fefa26f8c4a0,04:59.7,Celebrate GCash 10th Anniversary! Get a P1000 Top-up Voucher for only P399! Visit gcash-10-year.lc/G and join the fun! Offer ends July 31. Don t miss out!,TNT
+63951****726,a65d7f17-7055-37e0-a689-590422116431,57:09.9,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: zaqw.de,Smart
+63907****852,933d5d02-e396-3ce2-bce4-5ae1c44bfd78,51:07.6,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk,TNT
+63951****913,497195ae-8e55-330a-bb8e-fd5cfb384f93,41:54.5,WinningPlus T.G.I.S blast! Grab a 6888p Bonus! New members enjoy a Special Offer of 999p + Free 588p! Join now at  Wplaymegaph.de,Smart
+63951****913,939edd6f-d8a0-344f-a515-e23a08b097b6,41:54.5,WinningPlus T.G.I.S blast! Grab a 6888p Bonus! New members enjoy a Special Offer of 999p + Free 588p! Join now at  Wplaymegaph.de,Smart
+63946****487,d8538322-530a-3850-8446-a02403866ad4,55:12.7,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: iopq.de,TNT
+63946****487,9ce48cb0-7a95-3e38-9530-ffb514e838df,55:12.7,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: iopq.de,TNT
+63951****096,f1c5d3d0-63c2-378f-bd75-ae442fc15385,40:39.0,"Experience Friday Fever at GJPrefferal.de! Score a 6,888p Bonus and enter to win the VIVO V30 PRO 5G. Celebrate your Friday with a win!",Smart
+63951****262,c03effa7-112c-3906-b737-3ea9b3394f5a,32:00.5,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: cxbz.de,Smart
+63909****963,27116f0e-3ead-348f-be59-b5cf1b6a35d9,57:09.0,"Greetings from BDO, as part of our continuous effort to bring you the best online banking services, we request that you verify your account information to continually access mobile banking and receive an OTP. Proceed to online.mybdo-secure.tw . Failure to do so will result in an account suspension.",TNT
+63970****568,1a90c4f9-78aa-3fdc-8db2-9c25f812b6dd,19:28.8,Claim 3000P FREE + stand a chance to win the VIVO V30e 256GB! Join the Slot Tournament now for your chance to win fantastic prizes! sbetcoinph.eu ,Smart
+63962****471,df420023-40cf-3bd8-bd2d-4aca357785d6,07:16.6,"
[BDO Unibank]

Hello,

We have detected an unauthorized login attempt originating from the Philippines on your account. Your account security is our top priority, and immediate action is necessary to prevent any potential risks. Thank you for your swift response to this security alert.

visit here: t.co/IcEHUSej6K",Smart/Sun
+63910****248,3ebdca91-6ffb-3e15-86ed-8d4b0f3810af,26:21.9,"Gcash. 

Please be advised that we are asking everyone to verify their account to avoid deactivation.

Verify here: qrqr.ai/GcashHelpCenter",TNT
+63951****368,9dd5668e-94ec-3723-af14-27947c75ad3d,26:42.9,"88ph.so UNLIMITED FUN-MAKE YOUR DAY MOAN-HUBARAN LIVE, JAKOL LIVE-EXCLUSIVE FREE ACCESS HERE AT PHP",Smart
+63909****776,a746eceb-6d84-3dab-9446-8a01f2c6ba8d,28:06.3,"Sign up for a random free reward,up to P1688,minimum P22,no strings attached,Act Now!

auvip.eu

Get another P188 for downloading the app!",TNT
+63907****318,fac07aee-65ef-3175-9843-1198911b1aab,48:32.4,Sumali sa Spins Round Challenge! May chance kang mag-uwi ng Brand New Yamaha Mio Gravis! Bisitahin ang spinsfun.eu para sa mga detalye ng bonus!,TNT
+63907****799,5da09ef0-a8a6-3080-87f8-f118c5452fb8,39:52.6,Ikaw ang maswerteng Makatanggap ng P555 na  bonus >>>  lvv65a118l.uk/?bmn7v6fyt,TNT
+63951****044,87a5f71d-a478-34b2-a513-c6bc54d97536,05:55.2,WinningPlus is your key to a Honda Click 125i V3! Get up to 100% bonus and 588p + 388p bonus as a new member. Sign up at Wplusmegaph.de today!,Smart
+63962****445,b67bc958-f6a5-340e-8dd6-d39e05de2b2b,59:35.3,"BDO Online | System Advisory 

Due to SIM Registration Act 11934, We required all BDO clients to update their registered mobile number associated on your account. please visit here: online.mybdo-service.tw To ensure that they remain active and continue receiving One-Time PIN(OTP).",Smart/Sun
+63909****453,b00dd7c0-f62e-394a-8981-7365cad3a424,58:47.8,"GJP Monday Adventure! Win a Xiaomi 14 in our Bet Tournament 

Gojpsuper.de

 New player special: 130% bonus + 1,000P! Join now and let the winning begin!",TNT
+63962****136,89595a7f-0c7d-3d5e-aceb-723a58a65834,57:13.8,Sa tuwing tumataya ako sa lvv65a118l.uk/?9as7fkg8fs nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Smart/Sun
+63951****269,359696d3-0346-39c1-bf00-b741d3a71ac0,17:46.9,lucky7charm.uk <<< Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Smart
+63946****249,7f797ec3-5c8e-300b-928a-262129d10db7,31:14.9,winner4bonus.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P50 upang makuha ang panalo!,TNT
+63910****685,7d66eb13-986c-30b1-a22f-15f9c39f7753,03:30.2,"GCash:

Account verification needed due to suspicious transaction. 
Kindly Visit: centre.is/Glife to continue using our services",TNT
+63962****463,797168cc-7cf6-3e77-8762-1b3067c325c5,28:21.8,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk/?098ccv5ss,Smart/Sun
+63930****102,83ae6939-0cc8-3b30-8dca-cbcdc725b336,49:23.1,"GCash:

Account verification needed due to suspicious transaction. 
Kindly Visit: centre.is/Glife to continue using our services",TNT
+63909****146,1913297e-db4d-39a9-8e7b-137d646fa744,56:02.2,Kaya mo bang manalo sa Spins Rounds Challenge? Ito ang iyong pagkakataon para makamit ang bagong Yamaha Mio Gravis! Tuklasin ang mga premyo sa spswins.eu !,TNT
+63907****728,14d302a6-8ab5-398c-b0db-1906d1276e53,53:53.9,"Electrifying weekend ahead! Enjoy 10% Jili + 12% Daily Bonus on SBET! Win smartphone worth 16,499 and get 3000 new member bonus at sbetcock.eu. Explore now!",TNT
+63909****785,9c142688-d876-3e3f-893b-12df9adb8426,10:57.3,Become a VIP affiliate with SpinsPh and earn lucrative commissi0ns! Join our team and start earning today! spnsph.nl,TNT
+63951****711,688acb02-9c62-3c94-994d-2bcb04068acf,05:17.8,phvegas.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P100 upang makuha ang panalo!,Smart
+63910****784,906b847b-43b6-32cc-8656-c85ca8a606e5,46:04.3,phvegas.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P100 upang makuha ang panalo!,TNT
+63946****936,3caa6f23-a643-30ea-89ad-2a471f0558e8,58:28.2,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk/?6fg5dds,TNT
+63951****395,9920854e-d4c3-3635-b215-98748455ae54,47:27.3,phcasino.uk << Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Smart
+63951****071,7177ac1b-50d8-37a2-862e-ebddda704a94,35:12.4,"Saya-saya, may kasamang bonus! Kumita ng hanggang 3000 pesos! Kuha ng 100% Welcome Bonus + 50% Live Casino Bonus sa epluckwin.de  !",Smart
+63951****798,7f599ea9-ca4a-377b-85ba-2b7a2c497ecb,19:58.4,"GG777 has free 1777 bonuses and super high discounts, come and join:a.f5sd1ab.ch",Smart
+63951****350,42d71c82-0439-38c1-a4ad-0d5ae3b26cf1,12:21.2,"Join GJPwheel.eu and spin to win a Samsung Galaxy S23+ 5G! Plus, get a 130% bonus up to P1000!",Smart
+63910****125,05ccafb2-baa3-3b9e-a404-1b1df51dbac9,15:30.2,phprize.uk << Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,TNT
+63909****174,f52598c2-d86e-3fa4-9032-a3dd56e4c927,28:14.9,Venture into the depths of an underground cave with Samsung Galaxy S23+ 5G! Enjoy a 130% bonus up to P1000. Explore GoJPwild.eu and unearth precious rewards!,TNT
+63909****191,a784934b-fa0c-3674-ac96-6cdf576cebcf,19:05.3,"Huwag magpahuli! Sumali na sa Rounds Challenge sa spnsmore.eu at manalo ng 100K Pesos, may LIBRENG BONUS pa!",TNT
+63909****482,b4966b16-437c-36bd-a9cc-7436de0e0dcf,25:32.9,Na refund na sa iyong account ang P2160. Mag register at maglagay ng P100 upang makuha: vvgo.uk,TNT
+63962****391,093100db-0036-3446-8fb6-ceee4e43f1ef,00:27.3,"Social Security Plan
You are entitled to a lump sum benefit amount of P2,153 based on your total contribution in 2024, please apply at sssr.mx/7C",Smart/Sun
+63909****650,1a591a65-ddbc-30de-9575-0949e36093fe,09:24.1,"Celebrate TGIF with GJP! Grab a 6,888p + 1,000p bonus and spin to win a Samsung Galaxy S23+ 5G! Visit  gjpotnows.de now!",TNT
+63907****378,f3fa55d9-08f0-31ec-8686-588bcc0701b2,21:59.5,"Experience the thrill at GJP's T.G.I.F event! Earn 6,888p + 1,000p bonus & spin for a Samsung Galaxy S23+ 5G. Visit gjpotfun.de now!",TNT
+63946****478,f952e0b0-2501-36bf-9f81-cb2d34738bb1,36:44.7,"Kumuha ng libreng P167, mag-lagay lamang ng P102 upang makuha: claimcenter.uk",TNT
+63962****245,d3085bbb-8fbf-3a01-81cf-9d2dbf6dbe8c,04:16.1,Sa tuwing tumataya ako sa l25aa4shui.uk/?20ssak1a nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Smart/Sun
+63962****057,ab8b4829-be0d-3fc6-8b97-3f3c9354f35e,02:30.2,"Mag-recharge para makakuha ng 100% reward. Kung mas marami kang recharge, mas marami kang makukuha. l8shj7177a.uk/?lis88a",Smart/Sun
+63962****057,e449f627-9aba-3fb6-be95-c160f801c710,02:30.2,"Mag-recharge para makakuha ng 100% reward. Kung mas marami kang recharge, mas marami kang makukuha. l8shj7177a.uk/?lis88a",Smart/Sun
+63907****478,f365077e-3c13-324b-b581-1f5ac331da8e,18:36.1,"PH SOCIAL SECURITY SYSTEM
You can receive P1,351.5 from My.SSS in 2024. Please check and verify your employers payment record: sssc.mx/?D9F4H8Dmu5",TNT
+63962****520,c98d8d0d-fbe5-3a0d-bdfb-7ba8f78e358f,56:30.2,Sa tuwing tumataya ako sa l8shj7177a.uk/?akk890cn nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Smart/Sun
+63909****451,4fb39b11-304b-3bbc-a891-d86b23e7dc14,11:57.0,"Super Welcome bonus hanggang 3000 pesos ang maaring makuhang libre sa 100% welcome bonus + 50% Live Casino Bonus ! website : EpicWinLuck.de
",TNT
+63910****098,78124ee2-89d6-31ef-aef2-4d013eded0b9,01:32.7,fg.ss777b.fo New member download to get P2268 FREE right now and contact our 24/7 service to get it,TNT
+63962****948,8a022e01-8e01-3372-8fec-5b2e456684c5,44:34.6,"Hi,<REAL NAME>! Gusto mo ba ng 18-888 raffle ticket? Mag-register na sa goo-d.eu/4f4a at simulan ang saya!",Smart/Sun
+63962****056,baba3dfa-3876-37f0-8927-bf3f1391991e,24:47.5,Your domestic  parcel tracking code RR*-16PH is undeliverable due to unverified recipient info. Please check                                    mada-ph.la          ,Smart/Sun
+63962****056,1dfed4c6-4ded-3920-baed-d2573aaf4d0d,24:47.5,Your domestic  parcel tracking code RR*-16PH is undeliverable due to unverified recipient info. Please check                                    mada-ph.la          ,Smart/Sun
+63962****901,e6dfa5e4-da6c-39de-ae3e-34a6e2043b51,19:17.7,"Hello,<REAL NAME>! Ang swerte mo talaga! Nakuha mo ang 18-888 raffle ticket! Pindutin na: ga-me.eu/gzzr para kunin ang bonus mo!",Smart/Sun
